case,timestamp,source,info
3,03-04-24 14:56:17.17,s4,MixingCompleted
3,03-04-24 14:56:17.17,s3,StartMixing
3,03-04-24 14:56:17.17,s4,PouringStarted
3,03-04-24 14:56:21.21,s3,MixingCompleted
3,03-04-24 14:56:21.21,s3,PouringStarted
3,03-04-24 14:56:23.23,s4,PouringCompleted
3,03-04-24 14:56:23.23,lgpA,StartTransfer
3,03-04-24 14:56:27.27,s3,PouringCompleted
3,03-04-24 14:56:29.29,s1,PouringCompleted
3,03-04-24 14:56:29.29,lgpB,StartTransfer
3,03-04-24 14:56:29.29,s4,FillingCompleted
3,03-04-24 14:56:29.29,lgpA,TransferCompleted
3,03-04-24 14:56:29.29,s4,StartHeating
3,03-04-24 14:56:33.33,s4,HeatingCompleted
3,03-04-24 14:56:33.33,s4,StartMixing
3,03-04-24 14:56:34.34,s2,PouringCompleted
3,03-04-24 14:56:34.34,s3,FillingCompleted
3,03-04-24 14:56:34.34,lgpB,TransferCompleted
3,03-04-24 14:56:48.48,s4,MixingCompleted
3,03-04-24 14:56:48.48,s3,StartMixing
3,03-04-24 14:56:48.48,s4,PouringStarted
3,03-04-24 14:56:52.52,s3,MixingCompleted
3,03-04-24 14:56:52.52,s3,PouringStarted
3,03-04-24 14:56:54.54,s4,PouringCompleted
3,03-04-24 14:56:58.58,s3,PouringCompleted
4,03-04-24 14:57:34.34,s2,StartFilling
4,03-04-24 14:57:34.34,s1,StartFilling
4,03-04-24 14:57:40.40,s1,FillingCompleted
4,03-04-24 14:57:40.40,s2,FillingCompleted
4,03-04-24 14:57:40.40,lgpA,StartTransfer
4,03-04-24 14:57:40.40,s2,StartHeating
4,03-04-24 14:57:44.44,s2,HeatingCompleted
4,03-04-24 14:57:45.45,s1,PouringCompleted
4,03-04-24 14:57:45.45,s4,FillingCompleted
4,03-04-24 14:57:45.45,lgpB,StartTransfer
4,03-04-24 14:57:45.45,lgpA,TransferCompleted
4,03-04-24 14:57:45.45,s1,StartFilling
4,03-04-24 14:57:45.45,s4,StartHeating
4,03-04-24 14:57:49.49,s4,HeatingCompleted
4,03-04-24 14:57:49.49,s4,StartMixing
4,03-04-24 14:57:51.51,s1,FillingCompleted
4,03-04-24 14:57:51.51,s2,PouringCompleted
4,03-04-24 14:57:51.51,s3,FillingCompleted
4,03-04-24 14:57:51.51,lgpB,TransferCompleted
4,03-04-24 14:57:51.51,s2,StartFilling
4,03-04-24 14:57:53.53,s4,MixingCompleted
4,03-04-24 14:57:53.53,s3,StartMixing
4,03-04-24 14:57:53.53,s4,PouringStarted
4,03-04-24 14:57:57.57,s2,FillingCompleted
4,03-04-24 14:57:57.57,s2,StartHeating
4,03-04-24 14:57:59.59,s4,PouringCompleted
4,03-04-24 14:57:59.59,lgpA,StartTransfer
4,03-04-24 14:58:01.1,s2,HeatingCompleted
4,03-04-24 14:58:05.5,s1,PouringCompleted
4,03-04-24 14:58:05.5,s4,FillingCompleted
4,03-04-24 14:58:05.5,lgpA,TransferCompleted
4,03-04-24 14:58:05.5,s4,StartHeating
4,03-04-24 14:58:08.8,s3,MixingCompleted
4,03-04-24 14:58:08.8,s3,PouringStarted
4,03-04-24 14:58:09.9,s4,HeatingCompleted
4,03-04-24 14:58:09.9,s4,StartMixing
4,03-04-24 14:58:13.13,s4,MixingCompleted
4,03-04-24 14:58:13.13,s4,PouringStarted
4,03-04-24 14:58:14.14,s3,PouringCompleted
4,03-04-24 14:58:14.14,lgpB,StartTransfer
4,03-04-24 14:58:20.20,s4,PouringCompleted
4,03-04-24 14:58:20.20,s2,PouringCompleted
4,03-04-24 14:58:20.20,s3,FillingCompleted
4,03-04-24 14:58:20.20,lgpB,TransferCompleted
4,03-04-24 14:58:20.20,s3,StartMixing
4,03-04-24 14:58:35.35,s3,MixingCompleted
4,03-04-24 14:58:35.35,s3,PouringStarted
4,03-04-24 14:58:42.42,s3,PouringCompleted
5,03-04-24 14:59:35.35,s2,StartFilling
5,03-04-24 14:59:35.35,s1,StartFilling
5,03-04-24 14:59:38.38,s1,FillingCompleted
5,03-04-24 14:59:38.38,lgpA,StartTransfer
5,03-04-24 14:59:39.39,s2,FillingCompleted
5,03-04-24 14:59:39.39,s2,StartHeating
5,03-04-24 14:59:41.41,s1,PouringCompleted
5,03-04-24 14:59:41.41,s4,FillingCompleted
5,03-04-24 14:59:41.41,lgpA,TransferCompleted
5,03-04-24 14:59:41.41,s1,StartFilling
5,03-04-24 14:59:41.41,s4,StartHeating
5,03-04-24 14:59:42.42,s2,HeatingCompleted
5,03-04-24 14:59:42.42,lgpB,StartTransfer
5,03-04-24 14:59:44.44,s1,FillingCompleted
5,03-04-24 14:59:47.47,s2,PouringCompleted
5,03-04-24 14:59:47.47,s3,FillingCompleted
5,03-04-24 14:59:47.47,lgpB,TransferCompleted
5,03-04-24 14:59:47.47,s2,StartFilling
5,03-04-24 14:59:47.47,s3,StartMixing
5,03-04-24 14:59:50.50,s3,MixingCompleted
5,03-04-24 14:59:50.50,s3,PouringStarted
5,03-04-24 14:59:51.51,s2,FillingCompleted
5,03-04-24 14:59:51.51,s2,StartHeating
5,03-04-24 14:59:54.54,s2,HeatingCompleted
5,03-04-24 14:59:54.54,s3,PouringCompleted
5,03-04-24 14:59:54.54,lgpB,StartTransfer
5,03-04-24 14:59:56.56,s4,HeatingCompleted
5,03-04-24 14:59:56.56,s4,StartMixing
5,03-04-24 14:59:59.59,s4,MixingCompleted
5,03-04-24 14:59:59.59,s4,PouringStarted
5,03-04-24 14:59:59.59,s2,PouringCompleted
5,03-04-24 14:59:59.59,s3,FillingCompleted
5,03-04-24 14:59:59.59,lgpB,TransferCompleted
5,03-04-24 14:59:59.59,s3,StartMixing
5,03-04-24 15:00:02.2,s4,PouringCompleted
5,03-04-24 15:00:02.2,lgpA,StartTransfer
5,03-04-24 15:00:02.2,s3,MixingCompleted
5,03-04-24 15:00:02.2,s3,PouringStarted
5,03-04-24 15:00:05.5,s1,PouringCompleted
5,03-04-24 15:00:05.5,s4,FillingCompleted
5,03-04-24 15:00:05.5,lgpA,TransferCompleted
5,03-04-24 15:00:05.5,s4,StartHeating
5,03-04-24 15:00:07.7,s3,PouringCompleted
5,03-04-24 15:00:20.20,s4,HeatingCompleted
5,03-04-24 15:00:20.20,s4,StartMixing
5,03-04-24 15:00:23.23,s4,MixingCompleted
5,03-04-24 15:00:23.23,s4,PouringStarted
5,03-04-24 15:00:26.26,s4,PouringCompleted
6,03-04-24 15:01:14.14,s2,StartFilling
6,03-04-24 15:01:14.14,s1,StartFilling
6,03-04-24 15:01:17.17,s1,FillingCompleted
6,03-04-24 15:01:17.17,lgpA,StartTransfer
6,03-04-24 15:01:19.19,s2,FillingCompleted
6,03-04-24 15:01:19.19,s2,StartHeating
6,03-04-24 15:01:20.20,s1,PouringCompleted
6,03-04-24 15:01:20.20,s4,FillingCompleted
6,03-04-24 15:01:20.20,lgpA,TransferCompleted
6,03-04-24 15:01:20.20,s1,StartFilling
6,03-04-24 15:01:20.20,s4,StartHeating
6,03-04-24 15:01:22.22,s2,HeatingCompleted
6,03-04-24 15:01:22.22,lgpB,StartTransfer
6,03-04-24 15:01:24.24,s1,FillingCompleted
6,03-04-24 15:01:26.26,s2,PouringCompleted
6,03-04-24 15:01:26.26,s3,FillingCompleted
6,03-04-24 15:01:26.26,lgpB,TransferCompleted
6,03-04-24 15:01:26.26,s2,StartFilling
6,03-04-24 15:01:26.26,s3,StartMixing
6,03-04-24 15:01:26.26,s4,HeatingCompleted
6,03-04-24 15:01:30.30,s2,FillingCompleted
6,03-04-24 15:01:30.30,s2,StartHeating
6,03-04-24 15:01:32.32,s3,MixingCompleted
6,03-04-24 15:01:32.32,s4,StartMixing
6,03-04-24 15:01:32.32,s3,PouringStarted
6,03-04-24 15:01:33.33,s2,HeatingCompleted
6,03-04-24 15:01:35.35,s4,MixingCompleted
6,03-04-24 15:01:35.35,s4,PouringStarted
6,03-04-24 15:01:36.36,s3,PouringCompleted
6,03-04-24 15:01:36.36,lgpB,StartTransfer
6,03-04-24 15:01:38.38,s4,PouringCompleted
6,03-04-24 15:01:41.41,s2,PouringCompleted
6,03-04-24 15:01:41.41,lgpA,StartTransfer
6,03-04-24 15:01:41.41,s3,FillingCompleted
6,03-04-24 15:01:41.41,lgpB,TransferCompleted
6,03-04-24 15:01:41.41,s3,StartMixing
6,03-04-24 15:01:44.44,s1,PouringCompleted
6,03-04-24 15:01:44.44,s4,FillingCompleted
6,03-04-24 15:01:44.44,lgpA,TransferCompleted
6,03-04-24 15:01:44.44,s4,StartHeating
6,03-04-24 15:01:47.47,s3,MixingCompleted
6,03-04-24 15:01:47.47,s3,PouringStarted
6,03-04-24 15:01:50.50,s4,HeatingCompleted
6,03-04-24 15:01:50.50,s4,StartMixing
6,03-04-24 15:01:51.51,s3,PouringCompleted
6,03-04-24 15:01:53.53,s4,MixingCompleted
6,03-04-24 15:01:53.53,s4,PouringStarted
6,03-04-24 15:01:56.56,s4,PouringCompleted
7,03-04-24 15:02:34.34,s2,StartFilling
7,03-04-24 15:02:34.34,s1,StartFilling
7,03-04-24 15:02:37.37,s2,FillingCompleted
7,03-04-24 15:02:37.37,s1,FillingCompleted
7,03-04-24 15:02:37.37,s2,StartHeating
7,03-04-24 15:02:37.37,lgpA,StartTransfer
7,03-04-24 15:02:40.40,s2,HeatingCompleted
7,03-04-24 15:02:40.40,s1,PouringCompleted
7,03-04-24 15:02:40.40,lgpB,StartTransfer
7,03-04-24 15:02:40.40,s4,FillingCompleted
7,03-04-24 15:02:40.40,lgpA,TransferCompleted
7,03-04-24 15:02:40.40,s1,StartFilling
7,03-04-24 15:02:40.40,s4,StartHeating
7,03-04-24 15:02:43.43,s4,HeatingCompleted
7,03-04-24 15:02:43.43,s4,StartMixing
7,03-04-24 15:02:43.43,s1,FillingCompleted
7,03-04-24 15:02:43.43,s2,PouringCompleted
7,03-04-24 15:02:43.43,s3,FillingCompleted
7,03-04-24 15:02:43.43,lgpB,TransferCompleted
7,03-04-24 15:02:43.43,s2,StartFilling
7,03-04-24 15:02:46.46,s3,StartMixing
7,03-04-24 15:02:46.46,s4,MixingCompleted
7,03-04-24 15:02:46.46,s4,PouringStarted
7,03-04-24 15:02:46.46,s2,FillingCompleted
7,03-04-24 15:02:46.46,s2,StartHeating
7,03-04-24 15:02:49.49,s3,MixingCompleted
7,03-04-24 15:02:49.49,s3,PouringStarted
7,03-04-24 15:02:49.49,s4,PouringCompleted
7,03-04-24 15:02:49.49,lgpA,StartTransfer
7,03-04-24 15:02:49.49,s2,HeatingCompleted
7,03-04-24 15:02:52.52,s3,PouringCompleted
7,03-04-24 15:02:52.52,s1,PouringCompleted
7,03-04-24 15:02:52.52,s4,FillingCompleted
7,03-04-24 15:02:52.52,lgpB,StartTransfer
7,03-04-24 15:02:52.52,lgpA,TransferCompleted
7,03-04-24 15:02:52.52,s4,StartHeating
7,03-04-24 15:02:55.55,s4,HeatingCompleted
7,03-04-24 15:02:55.55,s4,StartMixing
7,03-04-24 15:02:55.55,s2,PouringCompleted
7,03-04-24 15:02:55.55,s3,FillingCompleted
7,03-04-24 15:02:55.55,lgpB,TransferCompleted
7,03-04-24 15:02:58.58,s4,MixingCompleted
7,03-04-24 15:02:58.58,s3,StartMixing
7,03-04-24 15:02:58.58,s4,PouringStarted
7,03-04-24 15:03:01.1,s3,MixingCompleted
7,03-04-24 15:03:01.1,s3,PouringStarted
7,03-04-24 15:03:01.1,s4,PouringCompleted
7,03-04-24 15:03:04.4,s3,PouringCompleted
8,03-04-24 15:03:51.51,s1,StartFilling
8,03-04-24 15:03:51.51,s2,StartFilling
8,03-04-24 15:03:54.54,s2,FillingCompleted
8,03-04-24 15:03:54.54,s2,StartHeating
8,03-04-24 15:03:56.56,s2,HeatingCompleted
8,03-04-24 15:03:56.56,lgpB,StartTransfer
8,03-04-24 15:03:57.57,s1,FillingCompleted
8,03-04-24 15:03:59.59,s2,PouringCompleted
8,03-04-24 15:03:59.59,lgpA,StartTransfer
8,03-04-24 15:03:59.59,s3,FillingCompleted
8,03-04-24 15:03:59.59,lgpB,TransferCompleted
8,03-04-24 15:03:59.59,s2,StartFilling
8,03-04-24 15:03:59.59,s3,StartMixing
8,03-04-24 15:04:02.2,s3,MixingCompleted
8,03-04-24 15:04:02.2,s3,PouringStarted
8,03-04-24 15:04:02.2,s2,FillingCompleted
8,03-04-24 15:04:02.2,s2,StartHeating
8,03-04-24 15:04:03.3,s2,HeatingCompleted
